,,,,,,,,,"['festanstellunggehalt', 'englisch', 'erforderlich', 'deutsch', 'server-virtualisierungstechnologien', 'mikromy med', '00€ pro monatsprache', 'abgeschlossene fachhochschul- bzw', 'netzwerkkomponenten und datenbankenfachkenntnisse', 'bevorzugt per e-mail']"
,,,,,,,,,"['──────────────────────────────deine aufgaben──────────────────────────────du sorgst durch', 'zum beispiel als familienfreundlicher arbeitgeber', 'die bewerberauswahl erfolgt ausschließlich qualifikationsorientiert', 'betriebliche altersvorsorgebetriebliche weiterbildungerfolgsbeteiligungfirmenhandyfirmenwagenflexible arbeitszeitenhomeofficekostenlose getränkesonderzahlung', 'top 27 im tk/it-ranking deutschland', 'top 3 beste work-life-balance deutschland', 'mahr edv ist gründer-inhaber-geführt', 'einer zum smart-office modernisierten villa', '──────────────────────────────diskriminierungsfreiheit──────────────────────────────alle stellenausschreibungen richten sich stets', 'de/downloads/prospekte/mahr-edv-mehr-als-ein-job']"
,,,,,,,,,"['feiertagsarbeitmontag bis freitagüberstundenwochenendarbeitleistungen', 'betriebliche weiterbildungfirmenhandyflexible arbeitszeitenhomeofficehomeoffice', 'london und paris', 'geschichte und politik', 'zeitungen und zeitschriften', 'büchern und ausstellungen', 'wissenschaft und medien', 'online-medien und werbung', 'wenn es um bildrecherche', 'zur verstärkung unseres teams']"
,,,,,,,,,"['windows server >2012', 'routing firewalling', '00€ pro jahrarbeitszeiten', '8-stunden-schichtleistungen', 'ssl- & ipsec-vpn', 'veeam backup & replication', 'netzwerkprotokolle und vpn-standards', 'kenntnisse der themen backup', 'restore und disaster recovery', 'du betreust unsere client rechner']"
,,,,,,,,,"['nein', 'it-systemkaufmann', 'assistent informatik', 'windows7/windows10', 'dazu noch', 'lehre/ausbildung', 'standort berlin mitte verstärkung', 'sehr gute deutschkenntnisselösungsorientiertes handeln', '8-stunden-schichtmontag bis freitagleistungen', 'betriebliche altersvorsorgebetriebliche weiterbildungflexible arbeitszeitenausbildung']"
,,,,,,,,,"['peripherigeräte wie z', 'wir sind ein', 'aber auch handys', 'art der stelle', 'betreut werden sollen arbeitsplatzrechner', 'handy- und peripherie-betreuunginbetriebnahme', '8-stunden-schichtmontag bis freitagleistungen', 'der auch kurzfristig unterstützen kannsystemumfeld', 'aktuell suchen wir einen mitarbeiter', 'probleme behebeninventarisierungdokumentationvpn-anbindung mobiler clientsexcel-auswertungen']"
,,,,,,,,,"['+ modernste technik', '00€ pro jahrarbeitszeiten', '8-stunden-schichtleistungen', 'allen it-fragen', 'art der stelle', 'aufgrund von covid-19', 'unser ziel ist es', 'sondern individuelle systemlösungen anzubieten', 'installation und konfiguration von serverumgebungen', 'betriebliche altersvorsorgebetriebliche weiterbildungfirmenhandyfirmenwagenflexible arbeitszeitenhomeofficekostenlose getränkesonderzahlung']"
,,,,,,,,,"['betriebliche weiterbildunghomeofficekostenlose getränkesprache', 'kundenzentriert und fokussiert', 'wer sind wir', 'ein cloudbasiertes ipad-kassensystem', 'wir wachsen wie verrückt', 'eine ausbildung zum fachinformatiker', 'multiplen projekten zu arbeiten', 'weil wir einfach gut sind', 'schnittstellen- und/oder systemadministrations-fachkenntnisse', 'werde jetzt teil unseres teams']"
,,,,,,,,,"['windows‐based server technologies', 'international high‐tech environment', 'dynamic working environment ‐ willingness', 'configure cloud‐based production', 'highly professional design engineers', 'asian based contract manufacturers', 'next generation data centers', 'virtual machines  required profile', 'offer monolithically integrated semiconductor chips', 'silicon photonics‐based interconnect solutions']"
,,,,,,,,,"['ongoing user support / management', 'mentoring und feedback unterstützt', 'unsere werte leben wir', 'european road-freight traffic', 'driver seat übernimm verantwortung', 'wachse über dich hinaus', 'jeder interaktion mit kunden', 'einfach wie online-shopping', 'mit nur einem klick und', 'als führende online-spedition für straßentransporte']"
,,,,,,,,,"['provided stay healthy', 'urban sports club', 'eye-opening books', 'core hours let', 'also improve support processes', 'second level support requests', 'asset management system finally', 'already gained first experiences', 'get one extra day', 'everything runs smoothly making']"
,,,,,,,,,"['temporär', 'deine aufgaben', 'windows server', 'avaya etc', 'deine benefits', '00€ pro jahrarbeitszeiten', '8-stunden-schichtkeine wochenendenleistungen', 'aufgrund von covid-19', 'ad und ms exchange', 'zusammenarbeit mit durstexpressart der stelle']"
,,,,,,,,,"['amazing products make sure', 'document best practices also', 'software strong communication skills', 'b2b customers across europe', 'it-related faults quickly', 'making sure people feel heard', 'vacation entitlement social events ranging', 'servicing several million tv users', 'open door policy competitive compensation', 'tv-as-a-service market zattoo']"
,,,,,,,,,"['desirable  excellent oral', 'support  keep logs', 'help desk procedures', 'open queries  continuously keep', 'responsibilities   providing technical support', 'queries  ensure proper recording', 'closure  follow company procedures', 'job description alexion talent', 'written communication skills  competence', 'help desk support required  degree']"
,,,,,,,,,"['insbesondere hyper-v', 'kompetenz und servicequalität', 'firewalls und vpn', 'insbesondere ms office', 'innovativer verbund von vw-', 'audi- und seat-autohäusern', 'erfahrung von office-produkten', 'lara malecha brunsbütteler damm 40-50', 'autohaus berolina gmbh ansprechpartnerin', 'wir sind die berolina gruppe']"
,,,,,,,,,"['ongoing user support / management', 'mentoring und feedback unterstützt', 'unsere werte leben wir', 'european road-freight traffic', 'driver seat übernimm verantwortung', 'wachse über dich hinaus', 'jeder interaktion mit kunden', 'einfach wie online-shopping', 'mit nur einem klick und', 'als führende online-spedition für straßentransporte']"
,,,,,,,,,"['temporär', 'deine aufgaben', 'windows server', 'avaya etc', 'deine benefits', '00€ pro jahrarbeitszeiten', '8-stunden-schichtkeine wochenendenleistungen', 'aufgrund von covid-19', 'ad und ms exchange', 'zusammenarbeit mit durstexpressart der stelle']"
,,,,,,,,,"['amazing products make sure', 'document best practices also', 'software strong communication skills', 'b2b customers across europe', 'it-related faults quickly', 'making sure people feel heard', 'vacation entitlement social events ranging', 'servicing several million tv users', 'open door policy competitive compensation', 'tv-as-a-service market zattoo']"
,,,,,,,,,"['desirable  excellent oral', 'support  keep logs', 'help desk procedures', 'open queries  continuously keep', 'responsibilities   providing technical support', 'queries  ensure proper recording', 'closure  follow company procedures', 'job description alexion talent', 'written communication skills  competence', 'help desk support required  degree']"
,,,,,,,,,"['insbesondere hyper-v', 'kompetenz und servicequalität', 'firewalls und vpn', 'insbesondere ms office', 'innovativer verbund von vw-', 'audi- und seat-autohäusern', 'erfahrung von office-produkten', 'lara malecha brunsbütteler damm 40-50', 'autohaus berolina gmbh ansprechpartnerin', 'wir sind die berolina gruppe']"
,,,,,,,,,"['der administration', 'application manager', 'bis zu 5', '00€ pro monatarbeitszeiten', 'schnell wachsendes familienunternehmen', 'einer skript- bzw', 'keine wochenendenmontag bis freitagleistungen', 'dich erwartet ein modernes', 'mittlere reife oder gleichwertig', '30 tage urlaub pro jahrweiterbildungsmöglichkeitenmitarbeiterparkplatzvwl-zuschuss']"
,,,,,,,,,"['nein', 'wir bieten', 'client- und serversysteme', 'dozenten und mitarbeiterfähigkeiten', 'betriebliche weiterbildungkostenlose getränkesonderzahlung', 'für unser schulungshaus', 'einrichtung der schulungssystemesupport für schulungsteilnehmer', 'sehr angenehme arbeitsatmosphäreabstimmung der arbeitszeiten', 'administration von hauptsächlich windows umgebungen', '8-stunden-schichtkeine wochenendenmontag bis freitagleistungen']"
